A,B,Parallel_Corridor
2696,2698,EastBay_68024980_PM
2697,2677,EastBay_68024980_PM
2697,2698,EastBay_68024980_AM
2698,2696,EastBay_68024980_AM
2698,2697,EastBay_68024980_PM
2718,2643,EastBay_InnerBBApproach80580880_AM
2718,2722,EastBay_InnerBBApproach80580880_PM
2719,2643,EastBay_68024980_PM
2719,2720,EastBay_68024980_AM
2720,2719,EastBay_68024980_PM
2720,2732,EastBay_68024980_AM
2721,2722,EastBay_68024980_PM
2721,2862,EastBay_68024980_AM
2722,2686,EastBay_68024980_PM
2722,2718,EastBay_InnerBBApproach80580880_AM
2722,2721,EastBay_68024980_AM
2722,2723,EastBay_68024980_AM
2723,2722,EastBay_68024980_PM
2723,2742,EastBay_68024980_AM
2725,2688,EastBay_68024980_PM
2725,2866,EastBay_68024980_AM
2732,2720,EastBay_68024980_PM
2732,2754,EastBay_68024980_AM
2733,2753,EastBay_InnerBBApproach80580880_PM
2733,2793,EastBay_InnerBBApproach80580880_AM
2735,2750,EastBay_InnerBBApproach80580880_PM
2735,2753,EastBay_InnerBBApproach80580880_AM
2741,2837,EastBay_68024980_PM
2742,2723,EastBay_68024980_PM
2742,2863,EastBay_68024980_AM
2743,2745,EastBay_InnerBBApproach80580880_AM
2745,2743,EastBay_InnerBBApproach80580880_PM
2745,2747,EastBay_InnerBBApproach80580880_AM
2747,2745,EastBay_InnerBBApproach80580880_PM
2747,2753,EastBay_InnerBBApproach80580880_AM
2748,2749,EastBay_68024980_PM
2749,2748,EastBay_68024980_AM
2749,2751,EastBay_68024980_PM
2750,2735,EastBay_InnerBBApproach80580880_AM
2751,2749,EastBay_68024980_AM
2751,2752,EastBay_68024980_PM
2752,2751,EastBay_68024980_AM
2752,2754,EastBay_68024980_PM
2753,2733,EastBay_InnerBBApproach80580880_AM
2753,2735,EastBay_InnerBBApproach80580880_PM
2753,2747,EastBay_InnerBBApproach80580880_PM
2753,2763,EastBay_InnerBBApproach80580880_AM
2754,2732,EastBay_68024980_PM
2754,2752,EastBay_68024980_AM
2763,2753,EastBay_InnerBBApproach80580880_PM
2768,2640,EastBay_InnerBBApproach80580880_AM
2768,2642,EastBay_InnerBBApproach80580880_PM
2768,2793,EastBay_InnerBBApproach80580880_PM
2770,11230,Periphery_580_PM
2775,2776,EastBay_880680_PM
2775,3918,EastBay_880680_AM
2776,2775,EastBay_880680_AM
2776,12007,EastBay_880680_PM
2780,2782,EastBay_InnerBBApproach80580880_AM
2780,2891,EastBay_InnerBBApproach80580880_PM
2782,2780,EastBay_InnerBBApproach80580880_PM
2782,2792,EastBay_InnerBBApproach80580880_AM
2792,2557,EastBay_InnerBBApproach80580880_AM
2792,2782,EastBay_InnerBBApproach80580880_PM
2793,2733,EastBay_InnerBBApproach80580880_PM
2793,2768,EastBay_InnerBBApproach80580880_AM
2793,2794,EastBay_InnerBBApproach80580880_AM
2794,2793,EastBay_InnerBBApproach80580880_PM
2796,3497,EastBay_Inner580_PM
2796,12129,EastBay_Inner580_AM
2797,2557,EastBay_InnerBBApproach80580880_PM
2804,2816,EastBay_InnerBBApproach80580880_AM
2804,3910,EastBay_InnerBBApproach80580880_PM
2811,3213,EastBay_InnerBBApproach80580880_PM
2812,2811,EastBay_InnerBBApproach80580880_PM
2813,2832,EastBay_InnerBBApproach80580880_AM
2814,2813,EastBay_InnerBBApproach80580880_AM
