"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
1015,1094,3125,251,398,164,281,120,397,431,146,737,357,542,232,147,173,142,651,1461,712,159,70,0,0,70
1016,1966,4307,739,632,375,220,293,853,683,137,1522,444,648,550,353,415,262,521,1694,1170,660,29,0,0,29
1017,2008,4654,721,695,293,299,265,1011,512,220,1593,415,555,600,371,482,162,484,2416,990,602,138,25,0,113
1018,1951,5147,731,733,160,327,333,953,471,194,1735,216,1333,367,104,147,70,1128,2995,723,231,246,127,0,118
1019,145,1568,46,63,9,27,26,76,27,16,116,29,83,18,15,29,12,497,946,88,25,1193,1186,0,7
1020,1718,5286,743,586,211,178,265,890,455,108,1549,169,709,482,310,217,106,657,3695,493,335,1720,1526,0,194
1021,1797,3555,821,634,178,164,254,881,486,176,1714,83,713,495,224,365,106,140,2438,424,447,5,0,0,5
1022,1737,3882,657,628,208,244,250,889,486,112,1407,330,664,430,300,343,256,373,1940,721,592,2,0,0,2
1023,1601,3605,586,516,293,206,152,754,541,154,1290,311,457,352,495,297,190,305,1730,899,481,66,60,0,6
1024,1126,2617,526,314,80,206,100,553,350,123,846,280,394,342,244,146,124,361,1078,681,373,0,0,0,0
1025,1697,3958,534,621,231,311,224,742,633,98,1245,452,370,428,423,476,337,519,1334,1125,643,5,0,0,5
1026,907,2209,265,289,170,183,169,287,402,49,663,244,196,119,196,396,98,325,669,656,461,0,0,0,0
1027,1614,3615,535,661,231,187,227,857,465,65,1319,295,477,423,349,365,240,290,1707,751,627,48,0,0,48
1028,1564,3541,453,637,257,217,270,580,669,45,1228,336,237,301,317,709,232,324,1078,932,975,8,0,0,8
1029,1615,3878,472,560,274,309,243,713,521,138,1196,419,206,226,343,840,199,542,1005,1133,999,23,21,0,2
1030,839,2042,178,371,148,142,156,285,343,55,635,204,88,115,137,499,101,243,401,583,714,0,0,0,0
1031,1520,3650,380,596,251,293,265,654,528,73,1146,374,168,219,339,794,203,454,690,1180,1123,0,0,0,0
1032,638,1668,119,299,85,135,87,285,196,70,475,163,69,102,158,309,55,274,417,445,477,0,0,0,0
1033,1596,3936,340,673,268,315,187,653,676,80,1192,404,202,368,304,722,217,555,974,1147,1043,0,0,0,0
1034,1208,3339,293,280,243,392,152,460,493,103,688,520,127,255,254,572,232,811,766,1042,488,9,0,0,9
1035,862,2414,120,307,164,271,60,339,382,81,491,371,110,210,221,321,89,577,657,719,372,0,0,0,0
1036,1219,3166,340,357,198,324,142,526,465,86,660,559,320,306,230,363,270,658,1123,802,313,5,0,0,5
1037,940,2489,223,257,219,241,92,469,355,24,529,411,252,215,222,251,103,614,747,707,318,0,0,0,0
1038,1155,3286,78,423,417,237,209,580,325,41,544,611,601,389,110,55,512,450,2133,175,16,39,0,0,39
1039,1979,4976,550,643,324,462,168,881,795,135,1273,706,400,635,391,553,317,882,1853,1379,545,21,0,0,21
