TAZ1454,hispanic,white_nonh,black_nonh,asian_nonh,other_nonh,TOTPOP,COUNTY,County_Name
317,727,1779,28,266,2291,5114,2,San Mateo
318,248,1005,22,369,1477,2836,2,San Mateo
319,312,1313,81,202,1624,3087,2,San Mateo
320,1575,1565,186,428,2134,6046,2,San Mateo
321,173,1207,11,204,1476,2979,2,San Mateo
322,751,1502,44,543,1970,4582,2,San Mateo
323,1718,1113,188,720,1858,5947,2,San Mateo
324,1513,591,32,208,709,3857,2,San Mateo
325,1300,982,120,628,1799,5164,2,San Mateo
326,1119,156,60,65,311,2273,2,San Mateo
327,3093,349,11,189,544,4826,2,San Mateo
328,631,830,0,189,889,2746,2,San Mateo
329,2103,364,62,110,502,3848,2,San Mateo
330,2321,534,30,238,905,4683,2,San Mateo
331,2573,371,226,802,1052,5961,2,San Mateo
332,1845,113,396,167,1133,4270,2,San Mateo
333,3667,1217,587,736,2656,10071,2,San Mateo
334,3019,277,462,146,1362,5869,2,San Mateo
335,2294,1196,194,339,1689,6739,2,San Mateo
336,394,1317,22,400,1632,3803,2,San Mateo
337,342,672,25,149,988,1506,2,San Mateo
338,255,762,58,321,1123,2418,2,San Mateo
339,288,1059,0,315,1287,2673,2,San Mateo
340,202,1353,0,626,2115,4053,2,San Mateo
341,290,1676,81,413,1844,4024,2,San Mateo
342,359,1571,37,437,1990,4282,2,San Mateo
343,80,976,1,229,1094,2186,2,San Mateo
344,35,1549,6,220,1811,3106,2,San Mateo
345,174,1900,1,554,2107,4531,2,San Mateo
346,141,1277,13,473,1589,3010,2,San Mateo
347,178,2216,62,2085,4088,7395,3,Santa Clara
348,0,0,0,0,0,0,3,Santa Clara
349,73,522,13,231,740,1375,3,Santa Clara
350,225,1377,38,386,1871,3732,3,Santa Clara
351,115,1575,156,830,2682,4708,3,Santa Clara
352,203,505,91,347,466,2484,3,Santa Clara
353,682,2021,106,1378,1311,6338,3,Santa Clara
354,301,691,69,671,1183,4717,3,Santa Clara
355,737,1692,180,1236,2863,7225,3,Santa Clara
356,680,2620,191,1035,3964,7678,3,Santa Clara
357,209,1704,32,802,2631,4933,3,Santa Clara
358,103,1542,7,1485,3015,5605,3,Santa Clara
359,55,1204,2,816,2044,3750,3,Santa Clara
360,186,1214,41,1123,2451,4432,3,Santa Clara
361,284,1596,21,2374,3446,7578,3,Santa Clara
362,93,1026,181,1725,2652,5471,3,Santa Clara
363,199,870,0,1037,1697,3382,3,Santa Clara
364,31,682,0,435,1047,2073,3,Santa Clara
365,441,1227,8,1076,1848,4725,3,Santa Clara
366,99,1118,14,1462,2477,4830,3,Santa Clara
367,705,1586,7,1482,2951,6670,3,Santa Clara
368,193,1653,0,649,2293,4315,3,Santa Clara
369,139,1530,1,1286,2324,4955,3,Santa Clara
370,175,1453,0,1143,2531,4796,3,Santa Clara
371,92,952,0,1015,1880,3598,3,Santa Clara
372,436,1202,7,2095,2565,6482,3,Santa Clara
373,299,890,368,590,1666,3640,3,Santa Clara
374,372,718,6,832,1436,3170,3,Santa Clara
375,230,910,38,917,846,3477,3,Santa Clara
376,427,995,85,1006,1847,4215,3,Santa Clara
377,523,1451,43,1142,1783,5334,3,Santa Clara
378,364,942,26,751,1683,3717,3,Santa Clara
379,1216,1111,60,1089,2080,5497,3,Santa Clara
380,827,885,11,655,485,4095,3,Santa Clara
381,639,1571,20,1252,2736,6046,3,Santa Clara
382,360,664,43,612,1407,3078,3,Santa Clara
383,19,914,9,479,1440,2581,3,Santa Clara
384,100,1656,0,1068,2629,4963,3,Santa Clara
385,57,943,0,679,1588,2874,3,Santa Clara
386,42,858,12,712,1321,2924,3,Santa Clara
387,210,1188,0,1054,2204,4362,3,Santa Clara
388,346,1959,6,1255,2723,5986,3,Santa Clara
389,200,1540,194,1167,2408,5047,3,Santa Clara
390,218,926,76,589,1438,3147,3,Santa Clara
391,637,1664,103,1787,2843,7425,3,Santa Clara
392,1322,475,155,1586,1677,5514,3,Santa Clara
393,514,981,21,1023,1691,4083,3,Santa Clara
394,385,796,0,1205,1868,4147,3,Santa Clara
395,319,681,28,1751,2130,4853,3,Santa Clara
396,1,3,0,2,8,10,3,Santa Clara
397,182,621,57,973,1487,3296,3,Santa Clara
398,886,657,0,787,1241,3936,3,Santa Clara
399,1,6,6,7,15,36,3,Santa Clara
400,669,625,174,1133,1837,4657,3,Santa Clara
401,285,223,7,189,427,1303,3,Santa Clara
402,99,234,18,37,321,839,3,Santa Clara
403,3,1,0,0,1,6,3,Santa Clara
404,599,189,21,172,394,1443,3,Santa Clara
405,3,0,0,1,1,6,3,Santa Clara
406,54,190,14,613,726,1505,3,Santa Clara
