TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
619,365,0,32,327,0,3,3
620,1060,81,154,784,0,36,5
621,698,208,30,430,2,14,14
622,323,6,2,298,0,5,12
623,322,6,24,250,0,13,29
624,104,0,19,85,0,0,0
625,838,102,46,672,0,3,15
626,392,8,42,334,0,3,5
627,867,186,115,474,0,5,87
628,572,7,64,392,52,25,32
629,451,7,27,331,0,6,80
630,1085,129,113,799,0,16,28
631,970,5,10,932,0,9,14
632,1576,701,77,725,0,31,42
633,1390,45,140,1066,0,48,91
634,1650,348,79,452,0,42,729
635,549,7,98,317,0,46,81
636,835,243,73,449,0,9,61
637,454,5,183,113,4,24,125
638,381,25,69,241,0,6,40
639,493,162,13,220,2,1,95
640,401,8,12,337,0,1,43
641,346,11,9,288,0,8,30
642,273,0,47,162,0,3,61
643,343,5,8,292,0,2,36
644,794,220,41,497,0,23,13
645,943,9,126,775,0,7,26
646,272,2,9,258,0,0,3
647,193,1,81,89,6,0,16
648,377,14,86,260,0,8,9
649,754,196,28,454,0,29,47
650,802,80,89,602,0,16,15
651,1045,60,16,906,0,35,28
652,685,63,63,431,0,22,106
653,1887,149,181,1468,2,39,48
654,535,5,104,366,0,1,59
655,1149,1,430,576,0,46,96
656,6567,102,1761,1163,0,2637,904
657,735,92,177,400,0,37,29
658,171,0,47,97,0,8,19
659,758,47,302,366,0,35,8
660,6093,432,1697,1535,15,1841,573
661,9017,649,736,5698,0,1864,70
662,224,1,36,149,0,0,38
663,245,7,14,196,0,3,25
664,370,6,55,259,0,15,35
665,950,68,294,548,0,17,23
666,372,0,108,193,0,15,56
667,525,62,70,371,0,4,18
668,433,4,34,233,0,147,15
669,718,42,38,515,0,47,76
670,766,20,28,637,0,14,67
671,963,161,394,376,0,2,30
672,395,31,95,223,0,29,17
673,703,46,172,449,0,8,28
674,1094,162,134,744,0,10,44
675,910,135,258,403,0,77,37
676,3658,353,360,1341,0,1336,268
677,3061,1142,260,1504,0,35,120
678,351,6,24,246,0,73,2
679,1251,469,51,643,1,59,28
680,1619,884,160,454,0,11,110
681,1077,171,180,640,0,28,58
682,1059,80,185,750,0,8,36
683,351,149,42,145,0,3,12
684,866,204,50,552,0,28,32
685,534,33,94,326,0,34,47
686,986,148,406,407,0,4,21
687,3176,2107,169,841,0,39,20
688,2495,144,59,2240,0,23,29
689,380,70,99,178,0,3,30
690,968,176,171,502,0,14,105
691,354,106,14,204,0,7,23
692,1148,245,329,446,0,15,113
693,438,23,33,376,0,3,3
694,252,3,89,153,0,2,5
695,472,0,163,225,0,3,81
696,1346,12,136,379,48,687,84
697,2616,44,1826,199,246,179,122
698,1676,469,115,877,50,59,106
699,731,69,179,126,249,58,50
700,12451,1043,1736,2245,111,6070,1246
701,1534,177,191,605,0,202,359
702,3556,268,678,1933,4,150,523
703,417,12,126,169,10,14,86
704,592,15,80,268,30,104,95
705,1886,56,135,1260,86,166,183
706,8215,2436,394,1843,820,2019,703
707,4929,751,623,2258,49,673,575
708,958,60,67,629,0,2,200
709,1801,339,267,943,3,52,197
710,1448,132,666,591,12,5,42
711,678,18,174,261,17,29,179
712,1321,61,97,506,159,183,315
713,1239,66,290,292,79,217,295
714,293,149,4,113,9,14,4
715,24526,994,12810,1196,30,6321,3175
716,2449,9,643,404,0,504,889
717,1466,34,70,1113,0,130,119
718,4748,420,940,629,88,897,1774
719,424,24,70,246,11,43,30
720,1789,113,525,311,3,743,94
721,3490,1238,437,1403,0,66,346
722,558,44,93,322,0,28,71
723,2021,140,292,1258,0,138,193
724,2810,486,241,1960,5,40,78
725,718,53,122,269,0,167,107
726,750,222,132,186,0,25,185
727,261,0,19,222,4,0,16
728,9155,1877,1988,1728,0,2168,1394
729,5972,1012,1099,2694,7,482,678
730,8681,1396,2863,2336,3,1174,909
731,201,12,88,80,0,9,12
732,5586,867,860,2283,0,839,737
733,5048,1232,550,2952,0,222,92
734,3009,118,657,647,2,456,1129
735,636,6,33,385,1,103,108
736,13291,1183,4212,1601,0,276,6019
737,5167,418,1293,831,0,2030,595
738,561,2,44,485,0,14,16
739,8395,502,2805,2635,1,901,1551
740,838,30,73,659,0,16,60
741,1029,233,151,600,0,19,26
742,24100,1833,10776,7009,3,1922,2557
743,4471,155,1428,861,119,734,1174
744,1876,63,94,1284,0,65,370
745,354,48,97,152,0,11,46
746,1869,133,511,839,32,190,164
747,340,4,58,239,3,8,28
748,130,5,32,78,0,6,9
749,1679,47,327,309,0,979,17
750,14116,1023,1856,704,0,10015,518
751,32780,3159,5242,2623,0,17595,4161
752,35643,942,3856,2723,0,26648,1474
753,184,4,44,119,2,8,7
754,1348,24,111,1091,16,91,15
755,1877,35,509,684,0,170,479
756,2082,68,646,433,10,302,623
757,203,13,9,157,0,11,13
758,945,146,77,612,0,12,98
759,339,46,64,146,0,60,23
760,369,37,44,225,0,12,51
761,3720,313,1663,1435,0,255,54
762,215,7,55,107,0,3,43
763,4912,28,2361,2432,0,8,83
764,1971,689,83,1077,0,57,65
765,867,154,82,591,0,14,26
766,728,47,60,561,0,13,47
767,13108,1111,1366,2263,0,8089,279
768,9042,362,4900,629,28,2808,315
769,2748,9,1619,448,0,472,200
770,1621,255,226,949,0,125,66
771,1644,403,342,830,0,6,63
772,252,59,28,84,0,20,61
773,1754,173,248,455,0,423,455
774,2161,196,376,1068,0,447,74
775,543,47,78,337,0,36,45
776,1214,6,370,758,0,45,35
777,7696,971,2173,3500,0,132,920
778,7191,17,1249,5762,0,16,147
779,236,10,61,123,0,33,9
780,879,38,289,477,3,56,16
781,351,5,66,196,0,41,43
782,535,3,93,368,0,44,27
783,157,0,19,41,0,94,3
784,793,178,80,433,0,83,19
785,514,33,41,384,0,46,10
786,185,33,19,107,0,3,23
787,799,137,78,510,0,36,38
788,385,9,80,282,0,14,0
789,361,8,49,226,0,24,54
790,385,1,44,297,0,29,14
791,1273,155,325,699,3,80,11
