"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
84,2,2,1,2324,4785,4850,4609,297,2280,301,201,388,1434,117,42,4,0.100103412616339,1822,155,331,2872,1086,406,30,247,1438,0,42,65,48,68,1,0,0,0,4.17404,1,0,2324,64
85,2,2,1,1860,3747,3775,3232,94,1909,287,172,460,941,77,26,11,0.127523910733262,1289,118,176,2431,656,394,174,195,678,0,54,188,100,154.66667,2,128,0,0,4.09811,1,0,1860,28
86,2,2,1,3300,6815,6920,4621,337,3188,749,634,707,1210,125,51.18573,16,0.159733294680388,1118,274,646,3628,1451,921,52,48,982,0,5,31,0,0,2,639,0,0,3.85624,1,0,3300,105
87,2,2,1,2377,4996,5141,3504,135,2324,434,293,597,1053,93,43,14,0.146926829268293,2039,242,437,2879,944,639,26,119,1865,0,8,21,0,0,2,0,0,0,3.37926,1,0,2377,144
88,2,2,1,2578,5408,5500,4480,253,2485,242,253,846,1237,85,40,11,0.107058179828561,1545,186,290,3586,952,486,439,197,657,12,40,200,0,0,2,405,0,0,4.74983,2,0,2578,91
89,2,2,1,3491,7572,7710,5296,770,3068,356,600,751,1784,150,89,5,0.150123585273839,1239,405,804,3742,1781,978,103,164,856,0,62,54,0,0,2,0,0,0,2.71912,1,0,3491,138
90,3,3,1,2094,4439,4606,3374,486,1726,303,349,797,645,86,42,9,0.150479094076655,651,209,305,2629,902,561,9,183,420,0,0,39,0,0,1,0,0,0,30.64551,1,0,2094,167
91,3,3,1,2314,5028,5517,2774,1004,1215,421,255,377,1261,320,91,100,0.169090909090909,531,263,588,2680,1215,771,8,82,388,1,7,45,0,0,1,0,3107,0,1.40693,1,0,2314,488
92,3,3,1,1024,2474,2494,1532,893,183,295,86,138,505,283,83,75,0.444086886564763,206,100,314,593,770,717,5,38,147,0,0,16,0,0,3,19,0,0,1.51134,1,0,1024,19
93,3,3,1,4210,7890,7896,5719,1364,3339,707,717,1063,1723,227,109,1,0.167428861788618,459,272,478,3663,2429,1054,4,143,211,0,52,49,0,0,3,0,0,0,2.30069,1,0,4210,6
94,3,3,1,1329,2647,2661,1893,325,1116,252,161,127,789,68,36,5,0.174896343761779,951,92,210,1177,803,379,195,160,572,0,10,14,0,61,2,0,0,0,3.39247,1,0,1329,14
95,3,3,1,1420,3014,3024,1905,794,794,194,194,296,736,86,51,3,0.185737976782753,621,178,330,1224,842,450,13,205,322,0,8,73,0,0,3,0,0,0,2.22532,1,0,1420,10
96,3,3,1,1148,2554,2570,1605,539,743,97,215,265,571,75,44,1,0.163153786104606,258,177,302,1031,712,348,6,109,109,0,8,26,0,0,3,0,0,0,2.19556,1,0,1148,16
97,3,3,1,1609,3414,3414,2490,536,1318,277,198,277,857,84,47,5,0.165393654524089,1311,203,309,1607,825,470,104,102,966,0,109,30,0,0,3,0,0,0,2.79632,1,0,1609,0
98,3,3,1,1902,4123,4123,2887,767,1365,163,293,351,1095,106,60,5,0.173193870104597,835,206,414,1886,1014,603,180,177,430,0,11,37,0,0,3,0,0,0,2.62101,1,0,1902,0
99,3,3,1,2035,4109,4226,2828,538,1797,288,327,498,922,72,38,4,0.136482316638975,805,173,261,2369,945,478,14,89,504,0,180,18,0,76.86957,2,324,0,0,3.6861,1,0,2035,116
100,3,3,1,1827,4226,4309,3011,268,1634,422,400,295,710,80,27,19,0.128491620111732,2526,145,369,2325,1023,447,240,813,1312,0,57,104,0,121.50027,1,0,0,0,5.73372,2,0,1827,83
101,3,3,1,2959,6732,6781,4437,199,2583,814,658,473,1014,87,33,19,0.128087561011685,3374,244,625,3682,1496,734,384,560,2033,0,163,234,0,68,1,0,577,99,5.42467,2,0,2959,49
