TAZ,PUMA,COUNTY,county_name,REGION
787,109,4,Alameda,1
788,108,4,Alameda,1
789,108,4,Alameda,1
790,108,4,Alameda,1
791,108,4,Alameda,1
792,108,4,Alameda,1
793,108,4,Alameda,1
794,108,4,Alameda,1
795,108,4,Alameda,1
796,108,4,Alameda,1
797,108,4,Alameda,1
798,108,4,Alameda,1
799,109,4,Alameda,1
800,108,4,Alameda,1
801,108,4,Alameda,1
802,108,4,Alameda,1
803,108,4,Alameda,1
804,107,4,Alameda,1
805,107,4,Alameda,1
806,107,4,Alameda,1
807,107,4,Alameda,1
808,107,4,Alameda,1
809,107,4,Alameda,1
810,107,4,Alameda,1
811,107,4,Alameda,1
812,107,4,Alameda,1
813,107,4,Alameda,1
814,107,4,Alameda,1
815,107,4,Alameda,1
816,107,4,Alameda,1
817,107,4,Alameda,1
818,107,4,Alameda,1
819,107,4,Alameda,1
820,107,4,Alameda,1
821,107,4,Alameda,1
822,106,4,Alameda,1
823,107,4,Alameda,1
824,107,4,Alameda,1
825,107,4,Alameda,1
826,107,4,Alameda,1
827,107,4,Alameda,1
828,107,4,Alameda,1
829,107,4,Alameda,1
830,107,4,Alameda,1
831,106,4,Alameda,1
832,106,4,Alameda,1
833,106,4,Alameda,1
834,106,4,Alameda,1
835,106,4,Alameda,1
836,106,4,Alameda,1
837,106,4,Alameda,1
838,106,4,Alameda,1
839,107,4,Alameda,1
840,106,4,Alameda,1
841,106,4,Alameda,1
842,106,4,Alameda,1
843,106,4,Alameda,1
844,106,4,Alameda,1
845,106,4,Alameda,1
846,106,4,Alameda,1
847,106,4,Alameda,1
848,106,4,Alameda,1
849,106,4,Alameda,1
850,106,4,Alameda,1
851,106,4,Alameda,1
852,106,4,Alameda,1
853,106,4,Alameda,1
854,106,4,Alameda,1
855,106,4,Alameda,1
856,106,4,Alameda,1
857,106,4,Alameda,1
858,105,4,Alameda,1
859,105,4,Alameda,1
860,105,4,Alameda,1
861,105,4,Alameda,1
862,105,4,Alameda,1
863,105,4,Alameda,1
864,105,4,Alameda,1
865,105,4,Alameda,1
866,105,4,Alameda,1
867,105,4,Alameda,1
868,105,4,Alameda,1
869,105,4,Alameda,1
870,105,4,Alameda,1
871,105,4,Alameda,1
872,105,4,Alameda,1
873,105,4,Alameda,1
874,105,4,Alameda,1
875,105,4,Alameda,1
876,104,4,Alameda,1
877,104,4,Alameda,1
878,104,4,Alameda,1
879,104,4,Alameda,1
880,104,4,Alameda,1
881,104,4,Alameda,1
882,104,4,Alameda,1
883,103,4,Alameda,1
884,103,4,Alameda,1
885,103,4,Alameda,1
886,103,4,Alameda,1
887,103,4,Alameda,1
888,104,4,Alameda,1
889,104,4,Alameda,1
890,104,4,Alameda,1
891,104,4,Alameda,1
892,104,4,Alameda,1
893,104,4,Alameda,1
894,104,4,Alameda,1
895,104,4,Alameda,1
896,104,4,Alameda,1
897,104,4,Alameda,1
898,104,4,Alameda,1
899,104,4,Alameda,1
900,104,4,Alameda,1
901,103,4,Alameda,1
902,103,4,Alameda,1
903,104,4,Alameda,1
904,104,4,Alameda,1
905,104,4,Alameda,1
906,104,4,Alameda,1
907,103,4,Alameda,1
908,103,4,Alameda,1
909,103,4,Alameda,1
910,103,4,Alameda,1
911,103,4,Alameda,1
912,103,4,Alameda,1
913,103,4,Alameda,1
914,103,4,Alameda,1
915,103,4,Alameda,1
916,103,4,Alameda,1
917,103,4,Alameda,1
918,103,4,Alameda,1
919,103,4,Alameda,1
920,103,4,Alameda,1
921,103,4,Alameda,1
922,103,4,Alameda,1
923,104,4,Alameda,1
924,104,4,Alameda,1
925,104,4,Alameda,1
926,102,4,Alameda,1
927,102,4,Alameda,1
