ZONE,RES_UNITS,TOTHH,TOTEMP
1125,1935,1864,398
1126,2803,2726,540
1127,2570,2468,3707
1128,1735,1680,916
1129,2247,2178,1985
1130,1424,1361,174
1131,2284,2198,533
1132,1744,1660,708
1133,3010,2905,783
1134,2463,2305,2035
1135,2883,2733,505
1136,2683,2511,2982
1137,1450,1406,8229
1138,2333,2242,812
1139,1225,1205,268
1140,1123,1091,1724
1141,2191,2140,4507
1142,1513,1466,240
1143,2113,1994,2099
1144,2209,2053,2042
1145,3522,3113,15812
1146,2017,1841,12784
1147,2338,2223,2276
1148,6674,5942,792
1149,2080,2004,793
1150,2009,1916,3207
1151,2094,2045,373
1152,2559,2435,4607
1153,1510,1456,619
1154,2630,2525,1927
1155,728,702,101
1156,1389,1319,494
1157,1063,1023,993
1158,2357,2268,1251
1159,840,821,1113
1160,1866,1813,336
1161,4168,3979,5601
1162,489,456,79
1163,1320,1291,124
1164,2070,1978,611
1165,2724,2584,548
1166,4056,3945,5160
1167,4007,3897,821
1168,3455,3326,15109
1169,2388,2249,2355
1170,3304,3140,5870
1171,2822,2756,838
1172,2085,2023,299
1173,1379,1343,63
1174,1863,1812,365
1175,4561,4433,10886
1176,12945,12495,3450
1177,7509,6612,2400
1178,13124,12406,5335
1179,5861,5462,4459
1180,4424,4069,1018
1181,2095,1586,246
1182,3611,3411,1406
1183,1111,1045,803
1184,1363,1268,281
1185,4904,4587,2244
1186,5672,5268,2541
1187,2577,2420,1510
1188,3062,2815,1420
1189,2468,2237,5161
1190,1575,1348,548
1191,1879,1697,1723
1192,1363,1296,188
1193,2664,2419,1150
1194,1527,1460,374
1195,5105,4797,1031
1196,2678,2514,169
1197,1163,1106,1162
1198,1445,1353,1704
1199,2847,2596,2722
1200,2822,2691,455
1201,1286,1206,859
1202,857,808,88
1203,1563,1416,949
1204,815,745,826
1205,1192,1016,2102
1206,1815,1614,430
1207,1785,1667,299
1208,2411,2195,490
1209,1740,1582,409
1210,1773,1663,430
1211,1677,1562,7825
1212,2251,2043,1579
1213,1301,1241,567
1214,1385,1318,649
1215,1938,1859,404
1216,1341,1276,34
1217,1703,1668,571
1218,1956,1856,82
1219,1192,1131,251
1220,3089,2905,490
1221,1575,1451,144
1222,1318,1201,1054
1223,1198,1011,1461
1224,1458,1260,1595
1225,1267,1058,1127
1226,1221,1072,312
1227,1281,1170,161
1228,805,722,250
1229,1533,1405,891
1230,2543,2352,596
1231,1221,1112,601
1232,1226,1082,1213
1233,1266,1183,335
1234,1528,1330,1853
1235,1170,996,341
1236,1570,1374,1541
1237,1036,921,80
1238,319,250,2103
1239,919,860,34
1240,1581,1467,847
1241,1308,1223,2775
1242,2327,2100,6500
1243,1909,1720,860
1244,1709,1580,798
1245,1664,1536,138
1246,3439,3297,2859
1247,3422,3258,2492
1248,3255,3017,3688
1249,1730,1636,3617
1250,1801,1687,4053
1251,2459,2287,1530
1252,857,654,1262
1253,1243,1184,45
1254,1897,1811,68
1255,1776,1669,361
1256,1766,1678,551
1257,2271,2118,249
1258,1332,1196,154
1259,1822,1656,1682
1260,1215,1125,176
1261,1277,1198,681
1262,650,573,4776
1263,977,900,1886
1264,1978,1825,841
1265,1274,1153,3877
1266,1466,1366,657
1267,1296,1252,3711
1268,4375,4172,1839
1269,3838,3611,1580
1270,5187,4698,2301
1271,4660,4437,401
1272,0,0,3632
1273,1587,1517,601
1274,2443,2255,1281
1275,1334,1276,265
1276,1344,1285,925
1277,2062,1976,168
1278,1089,1056,192
1279,1948,1797,5364
1280,4890,4667,6506
1281,2566,2378,1250
1282,4536,4265,1929
1283,1627,1529,1489
1284,2106,1981,3357
1285,1877,1818,445
1286,1668,1561,685
1287,1026,922,1422
1288,3848,3662,2302
1289,2393,2255,3010
1290,4283,3783,1952
1291,3433,3191,993
1292,2904,2788,7319
1293,2396,2173,755
1294,29,22,3888
1295,2697,2575,2002
1296,1669,1560,555
1297,3532,3200,2351
1298,758,698,3031
1299,1195,1080,5224
1300,897,845,538
1301,1381,1293,1322
1302,2497,2361,1206
1303,1197,1155,74
1304,2759,2612,815
1305,1804,1650,3333
1306,3658,3438,4629
1307,2617,2484,555
1308,1823,1604,1432
1309,2176,1976,1472
1310,1252,1050,2684
1311,3907,2845,2513
1312,1015,725,238
