ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
85,2,2,1,1878,3717,3935,2360,79,1875,534,539,444,361,77,26,11,0.146,1629,84,195,2512,711,433,335,215,372,676,0,31,121.93114,188.58682,2,0,0,0,1,4.22913,0,1878,85,218
86,2,2,1,3233,6659,6823,3834,140,3221,1079,927,675,552,125,51.18573,16,0.115,1099,284,806,3549,1662,522,64,296,631,98,0,10,0,0,2,0,0,0,1,3.34343,0,3233,86,164
87,2,2,1,2405,4894,5240,3122,147,2344,782,707,438,478,93,43,14,0.166,2577,177,266,3014,1131,652,67,138,2254,106,0,12,0,0,2,0,0,0,1,4.41676,0,2405,87,346
88,2,2,1,2569,5214,5285,3837,164,2519,566,739,519,745,85,40,11,0.064,1418,160,212,3604,1127,182,501,176,615,97,0,29,0,0,2,312.40076,0,0,2,3.87039,0,2569,88,71
89,2,2,1,3547,7202,7310,4956,577,3145,609,919,844,1175,150,89,5,0.1,1138,310,493,4136,1921,450,179,208,465,200,0,86,0,0,2,127.18284,0,0,1,2.75245,0,3547,89,108
90,3,3,1,2061,4274,4395,2754,231,1932,483,604,477,497,86,42,9,0.095,2570,164,318,2621,1030,262,134,239,1796,357,0,44,0,0,1,0,0,0,1,4.5404,0,2061,90,121
91,3,3,1,2224,4554,4912,2538,902,1446,433,552,529,710,320,91,100,0.174,6350,316,445,2227,1300,624,68,550,4810,850,5,67,0,0,1,0,3293.59692,0,1,2.7662,0,2224,91,358
92,3,3,1,1201,2590,3481,1113,887,145,562,190,189,260,283,83,75,0.456,10082,115,329,710,972,1355,48,957,7447,1526,4,100,0,0,3,0,0,0,1,4.01497,0,1201,92,891
93,3,3,1,4205,7242,7243,4816,1024,3373,748,1109,1131,1217,227,109,1,0.133,540,147,227,3870,2394,605,112,186,157,71,0,14,0,0,3,0,0,0,1,2.2388,0,4205,93,1
94,3,3,1,1349,2545,2645,1681,250,1153,272,379,292,406,68,36,5,0.134,1157,59,83,1384,898,221,182,298,522,138,0,17,0,61,2,0,0,0,1,3.21657,0,1349,94,100
95,3,3,1,1450,2891,2906,1760,618,897,221,342,362,525,86,51,3,0.132,1263,142,217,1358,946,243,65,233,324,618,1,22,0,0,3,0,0,0,1,2.82552,0,1450,95,15
96,3,3,1,1202,2557,2558,1630,559,707,180,326,287,409,75,44,1,0.123,288,140,206,1248,762,202,46,96,87,54,0,5,0,0,3,0,0,0,1,2.14824,0,1202,96,1
97,3,3,1,1625,3297,3298,2061,449,1326,335,390,346,554,84,47,5,0.122,1250,177,230,1684,946,261,140,144,332,595,0,39,0,0,3,0,0,0,1,3.01839,0,1625,97,1
98,3,3,1,1848,3847,3848,2229,507,1539,373,486,428,561,106,60,5,0.122,829,183,275,1955,1134,301,179,286,284,63,2,15,0,0,3,0,0,0,1,2.46145,0,1848,98,1
99,3,3,1,1933,3906,4077,2520,19,2131,450,665,403,415,72,38,4,0.114,897,190,317,2290,968,312,119,122,505,108,1,42,0,85.54839,2,309.92902,0,0,1,3.48107,0,1933,99,171
100,3,3,1,1743,4338,4404,2626,91,1812,523,526,369,325,80,27,19,0.129,2160,264,602,2189,946,403,279,275,1085,453,0,68,0,80.30618,1,0,0,0,2,4.55712,0,1743,100,66
101,3,3,1,2483,6336,6468,3766,231,2491,876,743,461,403,87,33,19,0.122,2257,421,1001,3213,1264,569,329,411,1014,402,3,98,0,68,1,0,577.39716,99.06693,2,4.89649,0,2483,101,132
102,3,3,1,2633,5000,5045,3372,176,2747,622,851,646,514,81,45.23017,3,0.123,895,159,341,2906,1214,425,74,148,287,319,0,67,0,68,2,0,0,0,1,3.49018,0,2633,102,45
103,3,3,1,2571,4694,4701,3195,543,2158,534,655,609,773,137,67,8,0.131,939,124,157,2637,1378,405,158,206,433,121,0,21,0,61,2,1060.68774,0,0,1,2.51117,0,2571,103,7
104,3,3,1,1780,3247,3271,2243,60,1911,543,457,374,406,68,24.79696,13,0.111,1396,60,135,1942,907,227,190,157,736,284,4,25,0,61,2,0,0,0,1,3.96895,0,1780,104,24
105,3,3,1,3167,6106,6195,3535,145,3252,1145,935,611,476,80,34,10,0.142,1135,240,583,3257,1488,627,130,228,528,197,0,52,48,68,1,0,0,0,1,4.05339,0,3167,105,89
106,3,3,1,3256,6548,6832,3476,151,3438,1599,808,452,397,110,22.22288,38,0.135,6602,445,1016,3061,1661,649,421,706,1313,3903,3,256,55.88995,79.17743,1,0,0,0,2,4.3348,0,3256,106,284
107,3,3,1,725,1816,2093,1074,89,716,114,255,217,139,223,10,106,0.105,9511,97,270,1095,488,143,1400,2189,2469,2219,3,1231,48,68,1,0,197.17953,0,2,3.89846,0,725,107,277
108,3,3,1,403,742,852,618,0,452,140,122,54,87,113.7,7,103,0.167,3937,26,82,417,223,104,286,855,708,1207,4,877,0,0,2,0,941.56482,125.47963,3,2.56685,0,403,108,110
109,3,3,1,3855,7095,7900,5728,0,4308,1855,969,335,696,142.8,23.63865,135,0.167,3815,250,762,3865,2063,960,293,1437,1395,472,0,218,68.01318,136.02635,2,0,0,0,3,3.14507,0,3855,109,805
110,3,3,1,1912,3520,3680,2702,0,2015,1600,133,55,124,263.89999,10.83159,33.84755,0.167,2353,113,351,1806,962,448,44,720,684,228,22,655,0,0,3,0,0,0,3,4.5725,0,1912,110,160
111,3,3,1,1212,2237,2277,1698,121,1180,478,171,192,371,327,11.75597,211,0.092,3542,94,96,1354,611,122,163,832,947,875,3,722,0,0,3,0,0,0,2,1.75553,0,1212,111,40
112,3,3,1,970,2004,2051,1234,353,704,144,220,202,404,67,28,10,0.143,1343,86,106,1073,588,198,69,532,426,194,1,121,0,0,3,0,208.50615,37.73932,1,3.34137,0,970,112,47
113,3,3,1,2486,5732,5737,2992,962,1584,951,551,415,569,186,82,27,0.097,1539,511,954,2512,1412,348,83,172,924,218,2,140,0,0,3,0,0,0,1,2.4073,0,2486,113,5
114,3,3,1,1636,3189,3196,2063,680,1086,293,389,383,571,146,48.58375,20,0.15,1789,124,191,1550,1011,320,365,329,379,456,1,259,0,0,3,0,0,0,1,2.81737,0,1636,114,7
115,3,3,1,592,1631,2107,708,161,471,189,139,99,165,74,17,26,0.136,17642,107,294,909,604,193,26,1185,14554,1467,5,405,0,0,1,0,0,0,1,19.35126,0,592,115,476
116,3,3,1,1804,4919,4986,3101,302,1676,485,452,466,401,143,36,49,0.089,4020,403,797,2446,1059,281,221,620,759,1915,1,504,0,0,1,0,0,0,2,3.9349,0,1804,116,67
